# swirl-format: 1
# swirl-version: 0.1.0.dev0
# quantity: reflectance
# [chlorite] meta: {"synthetic": true, "end_member": "chlorite", "label": "Chlorite (Fe-Mg intermediate: FeOH ~2253 nm, MgOH ~2340 nm)"}
# [chlorite] history: [{"name": "synthesize", "params": {"end_member": {"key": "chlorite", "label": "Chlorite (Fe-Mg intermediate: FeOH ~2253 nm, MgOH ~2340 nm)", "continuum": [[350.0, 0.18], [600.0, 0.32], [1000.0, 0.42], [1400.0, 0.48], [2000.0, 0.48], [2500.0, 0.42]], "features": [{"center": 1050.0, "fwhm": 350.0, "depth": 0.15, "assignment": "Fe2+ crystal field"}, {"center": 1395.0, "fwhm": 25.0, "depth": 0.08, "assignment": "OH"}, {"center": 1910.0, "fwhm": 50.0, "depth": 0.05, "assignment": "H2O"}, {"center": 2253.0, "fwhm": 30.0, "depth": 0.18, "assignment": "FeOH"}, {"center": 2340.0, "fwhm": 45.0, "depth": 0.3, "assignment": "MgOH"}]}}, "swirl_version": "0.1.0.dev0"}]
wavelength_nm,chlorite
350.0000,0.180000
351.0000,0.180679
352.0000,0.181357
353.0000,0.182036
354.0000,0.182714
355.0000,0.183392
356.0000,0.184070
357.0000,0.184747
358.0000,0.185424
359.0000,0.186100
360.0000,0.186777
361.0000,0.187452
362.0000,0.188128
363.0000,0.188803
364.0000,0.189478
365.0000,0.190152
366.0000,0.190826
367.0000,0.191499
368.0000,0.192173
369.0000,0.192845
370.0000,0.193518
371.0000,0.194189
372.0000,0.194861
373.0000,0.195532
374.0000,0.196202
375.0000,0.196872
376.0000,0.197542
377.0000,0.198211
378.0000,0.198879
379.0000,0.199547
380.0000,0.200215
381.0000,0.200882
382.0000,0.201548
383.0000,0.202214
384.0000,0.202879
385.0000,0.203544
386.0000,0.204208
387.0000,0.204872
388.0000,0.205535
389.0000,0.206197
390.0000,0.206859
391.0000,0.207521
392.0000,0.208181
393.0000,0.208841
394.0000,0.209501
395.0000,0.210160
396.0000,0.210818
397.0000,0.211475
398.0000,0.212132
399.0000,0.212788
400.0000,0.213444
401.0000,0.214099
402.0000,0.214753
