# swirl-format: 1
# swirl-version: 0.1.0.dev0
# quantity: reflectance
# [chlorite_noisy] meta: {"synthetic": true, "end_member": "chlorite", "label": "Chlorite (Fe-Mg intermediate: FeOH ~2253 nm, MgOH ~2340 nm)", "seed": [20260925, 0]}
# [chlorite_noisy] history: [{"name": "synthesize", "params": {"end_member": {"key": "chlorite", "label": "Chlorite (Fe-Mg intermediate: FeOH ~2253 nm, MgOH ~2340 nm)", "continuum": [[350.0, 0.18], [600.0, 0.32], [1000.0, 0.42], [1400.0, 0.48], [2000.0, 0.48], [2500.0, 0.42]], "features": [{"center": 1050.0, "fwhm": 350.0, "depth": 0.15, "assignment": "Fe2+ crystal field"}, {"center": 1395.0, "fwhm": 25.0, "depth": 0.08, "assignment": "OH"}, {"center": 1910.0, "fwhm": 50.0, "depth": 0.05, "assignment": "H2O"}, {"center": 2253.0, "fwhm": 30.0, "depth": 0.18, "assignment": "FeOH"}, {"center": 2340.0, "fwhm": 45.0, "depth": 0.3, "assignment": "MgOH"}]}}, "swirl_version": "0.1.0.dev0"}, {"name": "add_noise", "params": {"base": 0.0015, "low_boost": 4.0, "low_scale": 30.0, "high_boost": 3.0, "high_scale": 60.0}, "swirl_version": "0.1.0.dev0"}, {"name": "apply_splice_offsets", "params": {"vnir": -0.013630437536564483, "swir2": -0.009138775137603689}, "swirl_version": "0.1.0.dev0"}]
wavelength_nm,chlorite_noisy
350.0000,0.189013
351.0000,0.181284
352.0000,0.177725
353.0000,0.190412
354.0000,0.176784
355.0000,0.185907
356.0000,0.175955
357.0000,0.181560
358.0000,0.177544
359.0000,0.184663
360.0000,0.182317
361.0000,0.190530
362.0000,0.180959
363.0000,0.182311
364.0000,0.180337
365.0000,0.188200
366.0000,0.180857
367.0000,0.198355
368.0000,0.183865
369.0000,0.184210
370.0000,0.189956
371.0000,0.188050
372.0000,0.187100
373.0000,0.198678
374.0000,0.196347
375.0000,0.195652
376.0000,0.198637
377.0000,0.195894
378.0000,0.192144
379.0000,0.197931
380.0000,0.193506
381.0000,0.194491
382.0000,0.195001
383.0000,0.197225
384.0000,0.201286
385.0000,0.197708
386.0000,0.201239
387.0000,0.203078
388.0000,0.205558
389.0000,0.203018
390.0000,0.206035
391.0000,0.200523
392.0000,0.205991
393.0000,0.210210
394.0000,0.202910
395.0000,0.206353
396.0000,0.209210
397.0000,0.214639
398.0000,0.208134
399.0000,0.207078
400.0000,0.210164
401.0000,0.209139
402.0000,0.211800
403.0000,0.208390
404.0000,0.212570
405.0000,0.214990
406.0000,0.214762
407.0000,0.218244
408.0000,0.218786
409.0000,0.215819
410.0000,0.217697
411.0000,0.221192
412.0000,0.218588
413.0000,0.218824
414.0000,0.225959
415.0000,0.222771
416.0000,0.217980
417.0000,0.222844
418.0000,0.225597
419.0000,0.222120
420.0000,0.221924
421.0000,0.224831
422.0000,0.221518
423.0000,0.223359
424.0000,0.224575
425.0000,0.225978
426.0000,0.225607
427.0000,0.227460
428.0000,0.230451
429.0000,0.228675
430.0000,0.228370
431.0000,0.228031
432.0000,0.232183
433.0000,0.230608
434.0000,0.233714
435.0000,0.234363
436.0000,0.234143
437.0000,0.235824
438.0000,0.235603
439.0000,0.232437
440.0000,0.238348
441.0000,0.236358
442.0000,0.237363
443.0000,0.235531
444.0000,0.239565
445.0000,0.239399
446.0000,0.240673
447.0000,0.241411
448.0000,0.240065
449.0000,0.242029
450.0000,0.241272
451.0000,0.244901
452.0000,0.243696
453.0000,0.242170
454.0000,0.245874
455.0000,0.242531
456.0000,0.244806
457.0000,0.245272
458.0000,0.246945
459.0000,0.247734
460.0000,0.247996
461.0000,0.248677
462.0000,0.249987
463.0000,0.251549
464.0000,0.249434
465.0000,0.251788
466.0000,0.248962
467.0000,0.252271
468.0000,0.252288
469.0000,0.255195
470.0000,0.253399
471.0000,0.257479
472.0000,0.254639
473.0000,0.253843
474.0000,0.254740
475.0000,0.254958
476.0000,0.256745
477.0000,0.257956
478.0000,0.257710
479.0000,0.257525
480.0000,0.258589
481.0000,0.260169
482.0000,0.258458
483.0000,0.260542
484.0000,0.262870
485.0000,0.261901
486.0000,0.261903
487.0000,0.262783
488.0000,0.265355
489.0000,0.264842
490.0000,0.266317
491.0000,0.264643
492.0000,0.266116
493.0000,0.266541
494.0000,0.265073
495.0000,0.267490
496.0000,0.269197
497.0000,0.265581
498.0000,0.269762
499.0000,0.270891
500.0000,0.268547
501.0000,0.271889
502.0000,0.272880
503.0000,0.273853
504.0000,0.273190
505.0000,0.274533
506.0000,0.274123
507.0000,0.273812
508.0000,0.275586
509.0000,0.274791
510.0000,0.277558
511.0000,0.275365
512.0000,0.278760
513.0000,0.275031
514.0000,0.277950
515.0000,0.277133
516.0000,0.279550
517.0000,0.277898
518.0000,0.279825
519.0000,0.281648
520.0000,0.281618
521.0000,0.283014
522.0000,0.282331
523.0000,0.282196
524.0000,0.284561
525.0000,0.282211
526.0000,0.280592
527.0000,0.283609
528.0000,0.286839
529.0000,0.285353
530.0000,0.284903
531.0000,0.288770
532.0000,0.287261
533.0000,0.289922
534.0000,0.285393
535.0000,0.289583
536.0000,0.289423
537.0000,0.290466
538.0000,0.291007
539.0000,0.289267
540.0000,0.291749
541.0000,0.293175
542.0000,0.293557
543.0000,0.295090
544.0000,0.290740
545.0000,0.290040
546.0000,0.296879
547.0000,0.293411
548.0000,0.293106
549.0000,0.294748
550.0000,0.296794
551.0000,0.296980
552.0000,0.296756
553.0000,0.298584
554.0000,0.296950
555.0000,0.297858
556.0000,0.299060
557.0000,0.297650
558.0000,0.296269
559.0000,0.300391
560.0000,0.301626
561.0000,0.303775
562.0000,0.298410
563.0000,0.300772
564.0000,0.301148
565.0000,0.304156
566.0000,0.302672
567.0000,0.301986
568.0000,0.300854
569.0000,0.304094
570.0000,0.304756
571.0000,0.301612
572.0000,0.304322
573.0000,0.304142
574.0000,0.305346
575.0000,0.305824
576.0000,0.309045
577.0000,0.308057
578.0000,0.307438
