# swirl-format: 1
# swirl-version: 0.1.0.dev0
# quantity: reflectance
# [hematite] meta: {"synthetic": true, "end_member": "hematite", "label": "Hematite (Fe3+ charge-transfer edge, crystal-field band ~870 nm)"}
# [hematite] history: [{"name": "synthesize", "params": {"end_member": {"key": "hematite", "label": "Hematite (Fe3+ charge-transfer edge, crystal-field band ~870 nm)", "continuum": [[350.0, 0.03], [500.0, 0.04], [560.0, 0.06], [620.0, 0.15], [700.0, 0.25], [760.0, 0.29], [1300.0, 0.33], [2500.0, 0.34]], "features": [{"center": 870.0, "fwhm": 180.0, "depth": 0.3, "assignment": "Fe3+ crystal field"}]}}, "swirl_version": "0.1.0.dev0"}]
wavelength_nm,hematite
350.0000,0.030000
351.0000,0.030001
352.0000,0.030002
353.0000,0.030005
354.0000,0.030008
355.0000,0.030013
356.0000,0.030018
357.0000,0.030025
358.0000,0.030033
359.0000,0.030041
360.0000,0.030051
361.0000,0.030062
362.0000,0.030073
363.0000,0.030086
364.0000,0.030100
365.0000,0.030114
366.0000,0.030130
367.0000,0.030146
368.0000,0.030164
369.0000,0.030183
370.0000,0.030202
371.0000,0.030223
372.0000,0.030244
373.0000,0.030267
374.0000,0.030290
375.0000,0.030314
376.0000,0.030340
377.0000,0.030366
378.0000,0.030393
379.0000,0.030421
380.0000,0.030451
381.0000,0.030481
382.0000,0.030512
383.0000,0.030544
384.0000,0.030577
385.0000,0.030610
386.0000,0.030645
387.0000,0.030681
388.0000,0.030717
389.0000,0.030755
390.0000,0.030793
391.0000,0.030833
392.0000,0.030873
393.0000,0.030914
394.0000,0.030956
395.0000,0.030999
396.0000,0.031043
397.0000,0.031088
398.0000,0.031134
399.0000,0.031181
400.0000,0.031228
401.0000,0.031276
402.0000,0.031326
403.0000,0.031376
404.0000,0.031427
405.0000,0.031479
406.0000,0.031532
407.0000,0.031585
408.0000,0.031640
409.0000,0.031695
410.0000,0.031752
411.0000,0.031809
412.0000,0.031867
413.0000,0.031926
414.0000,0.031985
415.0000,0.032046
416.0000,0.032107
417.0000,0.032169
418.0000,0.032232
419.0000,0.032296
420.0000,0.032361
421.0000,0.032427
422.0000,0.032493
423.0000,0.032560
424.0000,0.032628
425.0000,0.032697
426.0000,0.032767
427.0000,0.032838
428.0000,0.032909
429.0000,0.032981
430.0000,0.033054
431.0000,0.033128
432.0000,0.033202
433.0000,0.033278
434.0000,0.033354
435.0000,0.033431
436.0000,0.033509
437.0000,0.033587
438.0000,0.033666
439.0000,0.033746
440.0000,0.033827
441.0000,0.033909
442.0000,0.033991
443.0000,0.034075
444.0000,0.034159
445.0000,0.034243
446.0000,0.034329
447.0000,0.034415
448.0000,0.034502
449.0000,0.034590
450.0000,0.034678
451.0000,0.034768
452.0000,0.034858
453.0000,0.034948
454.0000,0.035040
455.0000,0.035132
456.0000,0.035225
457.0000,0.035319
458.0000,0.035413
459.0000,0.035508
460.0000,0.035604
461.0000,0.035701
462.0000,0.035798
463.0000,0.035896
464.0000,0.035995
465.0000,0.036094
466.0000,0.036194
467.0000,0.036295
468.0000,0.036397
469.0000,0.036499
470.0000,0.036602
471.0000,0.036706
472.0000,0.036810
473.0000,0.036915
474.0000,0.037021
475.0000,0.037127
476.0000,0.037234
477.0000,0.037342
478.0000,0.037450
479.0000,0.037559
480.0000,0.037669
481.0000,0.037780
482.0000,0.037891
483.0000,0.038002
484.0000,0.038115
485.0000,0.038228
486.0000,0.038342
487.0000,0.038456
488.0000,0.038571
489.0000,0.038686
490.0000,0.038803
491.0000,0.038920
492.0000,0.039037
493.0000,0.039155
494.0000,0.039274
495.0000,0.039394
496.0000,0.039514
497.0000,0.039634
498.0000,0.039756
499.0000,0.039877
500.0000,0.040000
501.0000,0.040126
502.0000,0.040259
503.0000,0.040400
504.0000,0.040547
505.0000,0.040701
506.0000,0.040862
507.0000,0.041030
508.0000,0.041205
509.0000,0.041387
510.0000,0.041577
511.0000,0.041773
512.0000,0.041976
513.0000,0.042186
514.0000,0.042403
515.0000,0.042627
516.0000,0.042858
517.0000,0.043096
518.0000,0.043341
519.0000,0.043593
520.0000,0.043852
521.0000,0.044118
522.0000,0.044391
523.0000,0.044672
524.0000,0.044959
525.0000,0.045253
526.0000,0.045554
527.0000,0.045862
528.0000,0.046178
529.0000,0.046500
530.0000,0.046829
531.0000,0.047166
532.0000,0.047509
533.0000,0.047860
534.0000,0.048217
535.0000,0.048582
536.0000,0.048954
537.0000,0.049332
538.0000,0.049718
539.0000,0.050111
540.0000,0.050511
541.0000,0.050918
542.0000,0.051332
543.0000,0.051753
544.0000,0.052181
545.0000,0.052616
546.0000,0.053059
547.0000,0.053508
548.0000,0.053964
549.0000,0.054428
550.0000,0.054899
551.0000,0.055376
552.0000,0.055861
553.0000,0.056353
554.0000,0.056852
555.0000,0.057358
556.0000,0.057871
557.0000,0.058392
558.0000,0.058919
559.0000,0.059454
560.0000,0.059995
561.0000,0.060574
562.0000,0.061219
563.0000,0.061928
564.0000,0.062700
565.0000,0.063533
566.0000,0.064424
567.0000,0.065373
568.0000,0.066377
569.0000,0.067434
570.0000,0.068543
571.0000,0.069702
572.0000,0.070909
573.0000,0.072162
574.0000,0.073460
575.0000,0.074800
576.0000,0.076181
577.0000,0.077601
578.0000,0.079058
579.0000,0.080550
580.0000,0.082076
581.0000,0.083634
582.0000,0.085222
583.0000,0.086838
584.0000,0.088480
585.0000,0.090146
586.0000,0.091836
587.0000,0.093546
588.0000,0.095275
589.0000,0.097021
590.0000,0.098783
591.0000,0.100558
592.0000,0.102345
593.0000,0.104143
594.0000,0.105948
595.0000,0.107759
596.0000,0.109575
597.0000,0.111394
598.0000,0.113214
599.0000,0.115033
600.0000,0.116848
601.0000,0.118660
602.0000,0.120465
603.0000,0.122262
604.0000,0.124048
605.0000,0.125823
606.0000,0.127584
607.0000,0.129330
608.0000,0.131058
609.0000,0.132768
610.0000,0.134456
611.0000,0.136121
612.0000,0.137762
613.0000,0.139377
614.0000,0.140963
615.0000,0.142519
616.0000,0.144044
617.0000,0.145534
618.0000,0.146990
619.0000,0.148407
620.0000,0.149786
621.0000,0.151146
622.0000,0.152509
623.0000,0.153875
624.0000,0.155243
625.0000,0.156614
626.0000,0.157986
627.0000,0.159360
628.0000,0.160736
629.0000,0.162112
630.0000,0.163490
631.0000,0.164867
632.0000,0.166245
633.0000,0.167623
634.0000,0.169001
635.0000,0.170377
636.0000,0.171753
637.0000,0.173128
638.0000,0.174501
639.0000,0.175872
640.0000,0.177241
641.0000,0.178608
642.0000,0.179972
643.0000,0.181333
644.0000,0.182691
645.0000,0.184045
646.0000,0.185395
647.0000,0.186740
648.0000,0.188082
649.0000,0.189418
650.0000,0.190750
651.0000,0.192075
652.0000,0.193395
653.0000,0.194709
654.0000,0.196017
655.0000,0.197318
656.0000,0.198612
657.0000,0.199898
658.0000,0.201177
659.0000,0.202448
660.0000,0.203711
661.0000,0.204965
662.0000,0.206210
663.0000,0.207446
664.0000,0.208673
665.0000,0.209889
666.0000,0.211095
667.0000,0.212291
