# swirl-format: 1
# swirl-version: 0.1.0.dev0
# quantity: reflectance
# [hematite_noisy] meta: {"synthetic": true, "end_member": "hematite", "label": "Hematite (Fe3+ charge-transfer edge, crystal-field band ~870 nm)", "seed": [20260925, 1]}
# [hematite_noisy] history: [{"name": "synthesize", "params": {"end_member": {"key": "hematite", "label": "Hematite (Fe3+ charge-transfer edge, crystal-field band ~870 nm)", "continuum": [[350.0, 0.03], [500.0, 0.04], [560.0, 0.06], [620.0, 0.15], [700.0, 0.25], [760.0, 0.29], [1300.0, 0.33], [2500.0, 0.34]], "features": [{"center": 870.0, "fwhm": 180.0, "depth": 0.3, "assignment": "Fe3+ crystal field"}]}}, "swirl_version": "0.1.0.dev0"}, {"name": "add_noise", "params": {"base": 0.0015, "low_boost": 4.0, "low_scale": 30.0, "high_boost": 3.0, "high_scale": 60.0}, "swirl_version": "0.1.0.dev0"}, {"name": "apply_splice_offsets", "params": {"vnir": 0.005546212098531945, "swir2": -0.00765964885893132}, "swirl_version": "0.1.0.dev0"}]
wavelength_nm,hematite_noisy
350.0000,0.039094
351.0000,0.037172
352.0000,0.022174
353.0000,0.034117
354.0000,0.037350
355.0000,0.026391
356.0000,0.043423
357.0000,0.022721
358.0000,0.031072
359.0000,0.028641
360.0000,0.033134
361.0000,0.021593
362.0000,0.025808
363.0000,0.028464
364.0000,0.031497
365.0000,0.028415
366.0000,0.030784
367.0000,0.031191
368.0000,0.032182
369.0000,0.032931
370.0000,0.029338
371.0000,0.035900
372.0000,0.027902
373.0000,0.034209
374.0000,0.024366
375.0000,0.027076
376.0000,0.026970
377.0000,0.030847
378.0000,0.028549
379.0000,0.033113
380.0000,0.031329
381.0000,0.030533
382.0000,0.032960
383.0000,0.033415
384.0000,0.029012
385.0000,0.025130
386.0000,0.034319
387.0000,0.022809
388.0000,0.031284
389.0000,0.029555
390.0000,0.031324
391.0000,0.027457
392.0000,0.029924
393.0000,0.033552
394.0000,0.033816
395.0000,0.035063
396.0000,0.029863
397.0000,0.033512
398.0000,0.035237
399.0000,0.024846
400.0000,0.031667
401.0000,0.030838
402.0000,0.030890
403.0000,0.030477
404.0000,0.032137
405.0000,0.031715
406.0000,0.033110
407.0000,0.033557
408.0000,0.031170
409.0000,0.033558
410.0000,0.029136
411.0000,0.030977
412.0000,0.032878
413.0000,0.031648
414.0000,0.035513
415.0000,0.031069
416.0000,0.034277
417.0000,0.036059
418.0000,0.037021
419.0000,0.034309
420.0000,0.031323
421.0000,0.031687
422.0000,0.029822
423.0000,0.033582
424.0000,0.036069
425.0000,0.034386
426.0000,0.032362
427.0000,0.032449
428.0000,0.035057
429.0000,0.029305
430.0000,0.032356
431.0000,0.032606
432.0000,0.032776
433.0000,0.034372
434.0000,0.032213
435.0000,0.035265
436.0000,0.033536
437.0000,0.033555
438.0000,0.032945
439.0000,0.035575
440.0000,0.033977
441.0000,0.035827
442.0000,0.032991
443.0000,0.034880
444.0000,0.034368
445.0000,0.033797
446.0000,0.037064
447.0000,0.034857
448.0000,0.035419
449.0000,0.036189
450.0000,0.036860
451.0000,0.035374
452.0000,0.033213
453.0000,0.036833
454.0000,0.037706
455.0000,0.033360
456.0000,0.033566
457.0000,0.036773
458.0000,0.035540
459.0000,0.037825
460.0000,0.035086
461.0000,0.036682
462.0000,0.033784
463.0000,0.034731
464.0000,0.035120
465.0000,0.034929
466.0000,0.036974
467.0000,0.037238
468.0000,0.037127
469.0000,0.038769
470.0000,0.038180
471.0000,0.037200
472.0000,0.037246
473.0000,0.039290
474.0000,0.036986
475.0000,0.036476
476.0000,0.038634
477.0000,0.036654
478.0000,0.040025
479.0000,0.037182
480.0000,0.040836
481.0000,0.037889
482.0000,0.039974
483.0000,0.037895
484.0000,0.040710
485.0000,0.038310
486.0000,0.036446
487.0000,0.041260
488.0000,0.040794
489.0000,0.040509
490.0000,0.038435
491.0000,0.038655
492.0000,0.040709
493.0000,0.039397
494.0000,0.039323
495.0000,0.040571
496.0000,0.040426
497.0000,0.040375
498.0000,0.040634
499.0000,0.042586
500.0000,0.039291
501.0000,0.036912
502.0000,0.040393
503.0000,0.041242
504.0000,0.041059
505.0000,0.041590
506.0000,0.042824
507.0000,0.040553
508.0000,0.041961
509.0000,0.039963
510.0000,0.042783
511.0000,0.042631
512.0000,0.045215
513.0000,0.045894
514.0000,0.043527
515.0000,0.041820
516.0000,0.044073
517.0000,0.043017
518.0000,0.044505
519.0000,0.043872
520.0000,0.043693
521.0000,0.045053
522.0000,0.046412
523.0000,0.045967
524.0000,0.045823
525.0000,0.046436
526.0000,0.044482
527.0000,0.043851
528.0000,0.045639
529.0000,0.045700
530.0000,0.045268
531.0000,0.046135
532.0000,0.046824
533.0000,0.049845
534.0000,0.048513
535.0000,0.048195
536.0000,0.050547
537.0000,0.047490
538.0000,0.049559
539.0000,0.051234
540.0000,0.048881
541.0000,0.049339
542.0000,0.051075
543.0000,0.051286
544.0000,0.051535
545.0000,0.053203
546.0000,0.056306
547.0000,0.053285
548.0000,0.052289
549.0000,0.052310
550.0000,0.053439
551.0000,0.055214
552.0000,0.052592
553.0000,0.056791
554.0000,0.057462
555.0000,0.056595
556.0000,0.059208
557.0000,0.059051
558.0000,0.060478
559.0000,0.060810
560.0000,0.064158
561.0000,0.060206
562.0000,0.060511
563.0000,0.063611
564.0000,0.062781
565.0000,0.065605
566.0000,0.065136
567.0000,0.067471
568.0000,0.067200
569.0000,0.068743
570.0000,0.067965
571.0000,0.069281
572.0000,0.072935
573.0000,0.072038
574.0000,0.073788
575.0000,0.074469
576.0000,0.076312
577.0000,0.075384
578.0000,0.078728
579.0000,0.083868
580.0000,0.082525
581.0000,0.081514
582.0000,0.084016
583.0000,0.088442
584.0000,0.088680
585.0000,0.092583
586.0000,0.093326
587.0000,0.094847
588.0000,0.097886
589.0000,0.100961
590.0000,0.099600
591.0000,0.100606
592.0000,0.102311
593.0000,0.101721
594.0000,0.108410
595.0000,0.108191
596.0000,0.109048
597.0000,0.113753
598.0000,0.114514
599.0000,0.114672
600.0000,0.117060
601.0000,0.120520
602.0000,0.120593
603.0000,0.122833
604.0000,0.126067
605.0000,0.125283
606.0000,0.128899
607.0000,0.130008
608.0000,0.132631
609.0000,0.130359
610.0000,0.138335
611.0000,0.135959
612.0000,0.138415
613.0000,0.141278
614.0000,0.142912
615.0000,0.146959
616.0000,0.144397
617.0000,0.147761
618.0000,0.145418
619.0000,0.150473
620.0000,0.148800
621.0000,0.150785
622.0000,0.158007
623.0000,0.155083
624.0000,0.155034
625.0000,0.156109
626.0000,0.156822
627.0000,0.161561
628.0000,0.160193
629.0000,0.162050
630.0000,0.162549
631.0000,0.162547
632.0000,0.165879
633.0000,0.172790
634.0000,0.170641
635.0000,0.171713
636.0000,0.171561
637.0000,0.172524
638.0000,0.172950
639.0000,0.178572
640.0000,0.176897
641.0000,0.177601
642.0000,0.179847
643.0000,0.181676
644.0000,0.184782
645.0000,0.185772
646.0000,0.185344
647.0000,0.187483
648.0000,0.191901
649.0000,0.191584
650.0000,0.191469
651.0000,0.192841
652.0000,0.194862
653.0000,0.196031
654.0000,0.196434
655.0000,0.199819
656.0000,0.199748
657.0000,0.202590
658.0000,0.202523
659.0000,0.206208
660.0000,0.200781
661.0000,0.206817
662.0000,0.207682
663.0000,0.207004
664.0000,0.209728
665.0000,0.212092
666.0000,0.211391
667.0000,0.213227
668.0000,0.213943
669.0000,0.214222
670.0000,0.213896
671.0000,0.216990
672.0000,0.216944
673.0000,0.220257
674.0000,0.219189
675.0000,0.224973
676.0000,0.223602
677.0000,0.225579
678.0000,0.223884
679.0000,0.224899
680.0000,0.226810
681.0000,0.230454
682.0000,0.232387
683.0000,0.231048
684.0000,0.233163
685.0000,0.232763
686.0000,0.233882
687.0000,0.234298
688.0000,0.235764
689.0000,0.232974
690.0000,0.237649
691.0000,0.239818
692.0000,0.238362
693.0000,0.240897
694.0000,0.237966
695.0000,0.242157
696.0000,0.243106
697.0000,0.241502
698.0000,0.243241
699.0000,0.243836
700.0000,0.245016
701.0000,0.245319
702.0000,0.245755
703.0000,0.249490
704.0000,0.245791
705.0000,0.248006
706.0000,0.248594
707.0000,0.249546
708.0000,0.249489
709.0000,0.248849
710.0000,0.250679
711.0000,0.250481
712.0000,0.251434
713.0000,0.255194
714.0000,0.257366
715.0000,0.251364
716.0000,0.256757
717.0000,0.255114
718.0000,0.253658
719.0000,0.256947
720.0000,0.254989
721.0000,0.257259
722.0000,0.257305
723.0000,0.259168
724.0000,0.258659
725.0000,0.261178
726.0000,0.261880
727.0000,0.260605
728.0000,0.258827
729.0000,0.259115
730.0000,0.261215
731.0000,0.258828
732.0000,0.262097
733.0000,0.262071
734.0000,0.259607
735.0000,0.261151
736.0000,0.264550
737.0000,0.263313
738.0000,0.262407
739.0000,0.262293
740.0000,0.263651
741.0000,0.264225
742.0000,0.262656
743.0000,0.262467
744.0000,0.263088
745.0000,0.263914
746.0000,0.265320
747.0000,0.258735
