# swirl-format: 1
# swirl-version: 0.1.0.dev0
# quantity: reflectance
# [illite] meta: {"synthetic": true, "end_member": "illite", "label": "Illite (AlOH ~2205 nm, stronger H2O than white mica)"}
# [illite] history: [{"name": "synthesize", "params": {"end_member": {"key": "illite", "label": "Illite (AlOH ~2205 nm, stronger H2O than white mica)", "continuum": [[350.0, 0.4], [600.0, 0.56], [1000.0, 0.66], [1400.0, 0.7], [2000.0, 0.67], [2500.0, 0.58]], "features": [{"center": 1410.0, "fwhm": 30.0, "depth": 0.13, "assignment": "OH"}, {"center": 1910.0, "fwhm": 50.0, "depth": 0.2, "assignment": "H2O"}, {"center": 2205.0, "fwhm": 42.0, "depth": 0.28, "assignment": "AlOH"}, {"center": 2350.0, "fwhm": 30.0, "depth": 0.08, "assignment": "AlOH secondary"}, {"center": 2440.0, "fwhm": 30.0, "depth": 0.05, "assignment": "AlOH secondary"}]}}, "swirl_version": "0.1.0.dev0"}]
wavelength_nm,illite
350.0000,0.400000
351.0000,0.400790
352.0000,0.401579
353.0000,0.402369
354.0000,0.403158
355.0000,0.403947
356.0000,0.404735
357.0000,0.405523
358.0000,0.406311
359.0000,0.407098
360.0000,0.407885
361.0000,0.408672
362.0000,0.409458
363.0000,0.410244
364.0000,0.411030
365.0000,0.411815
366.0000,0.412599
367.0000,0.413384
368.0000,0.414167
369.0000,0.414951
370.0000,0.415734
371.0000,0.416516
372.0000,0.417298
373.0000,0.418079
374.0000,0.418860
375.0000,0.419640
376.0000,0.420420
377.0000,0.421199
378.0000,0.421978
379.0000,0.422756
380.0000,0.423534
381.0000,0.424310
382.0000,0.425087
383.0000,0.425862
384.0000,0.426637
385.0000,0.427412
386.0000,0.428186
387.0000,0.428959
388.0000,0.429731
389.0000,0.430503
390.0000,0.431274
391.0000,0.432044
392.0000,0.432814
393.0000,0.433583
394.0000,0.434351
395.0000,0.435118
396.0000,0.435885
397.0000,0.436651
398.0000,0.437416
399.0000,0.438180
400.0000,0.438943
401.0000,0.439706
402.0000,0.440468
403.0000,0.441229
404.0000,0.441989
405.0000,0.442748
406.0000,0.443506
407.0000,0.444264
408.0000,0.445020
409.0000,0.445776
410.0000,0.446530
411.0000,0.447284
412.0000,0.448037
413.0000,0.448789
414.0000,0.449540
415.0000,0.450290
416.0000,0.451038
417.0000,0.451786
418.0000,0.452533
419.0000,0.453279
420.0000,0.454024
421.0000,0.454768
422.0000,0.455510
423.0000,0.456252
424.0000,0.456993
