# swirl-format: 1
# swirl-version: 0.1.0.dev0
# quantity: reflectance
# [illite_noisy] meta: {"synthetic": true, "end_member": "illite", "label": "Illite (AlOH ~2205 nm, stronger H2O than white mica)", "seed": [20260925, 2]}
# [illite_noisy] history: [{"name": "synthesize", "params": {"end_member": {"key": "illite", "label": "Illite (AlOH ~2205 nm, stronger H2O than white mica)", "continuum": [[350.0, 0.4], [600.0, 0.56], [1000.0, 0.66], [1400.0, 0.7], [2000.0, 0.67], [2500.0, 0.58]], "features": [{"center": 1410.0, "fwhm": 30.0, "depth": 0.13, "assignment": "OH"}, {"center": 1910.0, "fwhm": 50.0, "depth": 0.2, "assignment": "H2O"}, {"center": 2205.0, "fwhm": 42.0, "depth": 0.28, "assignment": "AlOH"}, {"center": 2350.0, "fwhm": 30.0, "depth": 0.08, "assignment": "AlOH secondary"}, {"center": 2440.0, "fwhm": 30.0, "depth": 0.05, "assignment": "AlOH secondary"}]}}, "swirl_version": "0.1.0.dev0"}, {"name": "add_noise", "params": {"base": 0.0015, "low_boost": 4.0, "low_scale": 30.0, "high_boost": 3.0, "high_scale": 60.0}, "swirl_version": "0.1.0.dev0"}, {"name": "apply_splice_offsets", "params": {"vnir": -0.018991598047361485, "swir2": -0.012250564256800569}, "swirl_version": "0.1.0.dev0"}]
wavelength_nm,illite_noisy
350.0000,0.390471
351.0000,0.390391
352.0000,0.410409
353.0000,0.392821
354.0000,0.379980
355.0000,0.398814
356.0000,0.408675
357.0000,0.400603
358.0000,0.398270
359.0000,0.399854
360.0000,0.412941
361.0000,0.400777
362.0000,0.399485
363.0000,0.409942
364.0000,0.403406
365.0000,0.413651
366.0000,0.406913
367.0000,0.409757
368.0000,0.411531
369.0000,0.402665
370.0000,0.406284
371.0000,0.411786
372.0000,0.408693
373.0000,0.408544
374.0000,0.411223
375.0000,0.412927
376.0000,0.416138
377.0000,0.415202
378.0000,0.414403
379.0000,0.414200
380.0000,0.416961
381.0000,0.411229
382.0000,0.419006
383.0000,0.415854
384.0000,0.419417
385.0000,0.419543
386.0000,0.421241
387.0000,0.416791
388.0000,0.422466
389.0000,0.426014
390.0000,0.423896
391.0000,0.427103
392.0000,0.428616
393.0000,0.424422
394.0000,0.433542
395.0000,0.426474
396.0000,0.431700
397.0000,0.427989
398.0000,0.433401
399.0000,0.427995
400.0000,0.426597
401.0000,0.430108
402.0000,0.432313
403.0000,0.431308
404.0000,0.435305
405.0000,0.434099
406.0000,0.437217
407.0000,0.436782
408.0000,0.438177
409.0000,0.440513
410.0000,0.436702
411.0000,0.441486
412.0000,0.434342
413.0000,0.439975
414.0000,0.439122
415.0000,0.443374
416.0000,0.442032
417.0000,0.442896
418.0000,0.440102
419.0000,0.440095
420.0000,0.443958
421.0000,0.443894
422.0000,0.448960
423.0000,0.444362
424.0000,0.445621
425.0000,0.450190
426.0000,0.446025
427.0000,0.447956
428.0000,0.452895
429.0000,0.452523
430.0000,0.454339
431.0000,0.455969
432.0000,0.452971
433.0000,0.454437
434.0000,0.455315
435.0000,0.456500
436.0000,0.459175
437.0000,0.455383
438.0000,0.457275
439.0000,0.460896
440.0000,0.460114
