# swirl-format: 1
# swirl-version: 0.1.0.dev0
# quantity: reflectance
# [white_mica] meta: {"synthetic": true, "end_member": "white_mica", "label": "White mica (muscovite-like, AlOH ~2200 nm)"}
# [white_mica] history: [{"name": "synthesize", "params": {"end_member": {"key": "white_mica", "label": "White mica (muscovite-like, AlOH ~2200 nm)", "continuum": [[350.0, 0.45], [600.0, 0.62], [1000.0, 0.72], [1400.0, 0.78], [2000.0, 0.76], [2500.0, 0.68]], "features": [{"center": 1408.0, "fwhm": 20.0, "depth": 0.12, "assignment": "OH"}, {"center": 1912.0, "fwhm": 40.0, "depth": 0.05, "assignment": "H2O"}, {"center": 2120.0, "fwhm": 25.0, "depth": 0.04, "assignment": "AlOH shoulder"}, {"center": 2200.0, "fwhm": 38.0, "depth": 0.35, "assignment": "AlOH"}, {"center": 2350.0, "fwhm": 25.0, "depth": 0.15, "assignment": "AlOH secondary"}, {"center": 2440.0, "fwhm": 25.0, "depth": 0.1, "assignment": "AlOH secondary"}]}}, "swirl_version": "0.1.0.dev0"}]
wavelength_nm,white_mica
350.0000,0.450000
351.0000,0.450845
352.0000,0.451690
353.0000,0.452535
354.0000,0.453379
355.0000,0.454224
356.0000,0.455068
357.0000,0.455911
358.0000,0.456754
359.0000,0.457597
360.0000,0.458440
361.0000,0.459282
362.0000,0.460124
363.0000,0.460965
364.0000,0.461806
365.0000,0.462647
366.0000,0.463487
367.0000,0.464326
368.0000,0.465166
369.0000,0.466004
370.0000,0.466843
371.0000,0.467680
372.0000,0.468518
373.0000,0.469354
374.0000,0.470190
375.0000,0.471026
376.0000,0.471861
377.0000,0.472696
378.0000,0.473530
379.0000,0.474363
380.0000,0.475196
381.0000,0.476028
382.0000,0.476859
383.0000,0.477690
384.0000,0.478520
385.0000,0.479349
386.0000,0.480178
387.0000,0.481006
388.0000,0.481833
389.0000,0.482660
390.0000,0.483486
391.0000,0.484311
392.0000,0.485135
393.0000,0.485958
394.0000,0.486781
395.0000,0.487603
396.0000,0.488424
397.0000,0.489244
398.0000,0.490064
399.0000,0.490882
400.0000,0.491700
401.0000,0.492516
402.0000,0.493332
403.0000,0.494147
404.0000,0.494961
405.0000,0.495774
406.0000,0.496586
407.0000,0.497397
408.0000,0.498208
409.0000,0.499017
410.0000,0.499825
411.0000,0.500632
412.0000,0.501438
413.0000,0.502243
414.0000,0.503047
415.0000,0.503850
416.0000,0.504652
417.0000,0.505453
418.0000,0.506252
419.0000,0.507051
420.0000,0.507848
421.0000,0.508644
422.0000,0.509439
423.0000,0.510233
424.0000,0.511026
425.0000,0.511817
426.0000,0.512608
427.0000,0.513397
428.0000,0.514185
429.0000,0.514971
430.0000,0.515756
431.0000,0.516540
432.0000,0.517323
433.0000,0.518105
434.0000,0.518885
435.0000,0.519663
436.0000,0.520441
437.0000,0.521217
438.0000,0.521992
439.0000,0.522765
440.0000,0.523537
441.0000,0.524307
442.0000,0.525076
443.0000,0.525844
444.0000,0.526610
445.0000,0.527375
446.0000,0.528138
447.0000,0.528900
448.0000,0.529660
449.0000,0.530419
450.0000,0.531176
451.0000,0.531932
452.0000,0.532686
453.0000,0.533438
454.0000,0.534189
455.0000,0.534939
456.0000,0.535687
457.0000,0.536433
458.0000,0.537177
459.0000,0.537920
460.0000,0.538661
461.0000,0.539401
462.0000,0.540139
463.0000,0.540875
464.0000,0.541610
465.0000,0.542342
466.0000,0.543073
467.0000,0.543803
468.0000,0.544530
469.0000,0.545256
470.0000,0.545980
471.0000,0.546702
472.0000,0.547422
473.0000,0.548141
474.0000,0.548857
475.0000,0.549572
476.0000,0.550285
477.0000,0.550996
478.0000,0.551705
479.0000,0.552413
480.0000,0.553118
481.0000,0.553821
482.0000,0.554523
483.0000,0.555222
484.0000,0.555920
485.0000,0.556616
486.0000,0.557309
487.0000,0.558001
488.0000,0.558690
489.0000,0.559378
490.0000,0.560063
491.0000,0.560747
492.0000,0.561428
493.0000,0.562107
494.0000,0.562784
