# swirl-format: 1
# swirl-version: 0.1.0.dev0
# quantity: reflectance
# [white_mica_noisy] meta: {"synthetic": true, "end_member": "white_mica", "label": "White mica (muscovite-like, AlOH ~2200 nm)", "seed": [20260925, 3]}
# [white_mica_noisy] history: [{"name": "synthesize", "params": {"end_member": {"key": "white_mica", "label": "White mica (muscovite-like, AlOH ~2200 nm)", "continuum": [[350.0, 0.45], [600.0, 0.62], [1000.0, 0.72], [1400.0, 0.78], [2000.0, 0.76], [2500.0, 0.68]], "features": [{"center": 1408.0, "fwhm": 20.0, "depth": 0.12, "assignment": "OH"}, {"center": 1912.0, "fwhm": 40.0, "depth": 0.05, "assignment": "H2O"}, {"center": 2120.0, "fwhm": 25.0, "depth": 0.04, "assignment": "AlOH shoulder"}, {"center": 2200.0, "fwhm": 38.0, "depth": 0.35, "assignment": "AlOH"}, {"center": 2350.0, "fwhm": 25.0, "depth": 0.15, "assignment": "AlOH secondary"}, {"center": 2440.0, "fwhm": 25.0, "depth": 0.1, "assignment": "AlOH secondary"}]}}, "swirl_version": "0.1.0.dev0"}, {"name": "add_noise", "params": {"base": 0.0015, "low_boost": 4.0, "low_scale": 30.0, "high_boost": 3.0, "high_scale": 60.0}, "swirl_version": "0.1.0.dev0"}, {"name": "apply_splice_offsets", "params": {"vnir": -0.004604573585665501, "swir2": -0.003863471887254999}, "swirl_version": "0.1.0.dev0"}]
wavelength_nm,white_mica_noisy
350.0000,0.445325
351.0000,0.444950
352.0000,0.442906
353.0000,0.445112
354.0000,0.451946
355.0000,0.453892
356.0000,0.456306
357.0000,0.450358
358.0000,0.455544
359.0000,0.457907
360.0000,0.467214
361.0000,0.460054
362.0000,0.463995
363.0000,0.462172
364.0000,0.455500
365.0000,0.471390
366.0000,0.462534
367.0000,0.463776
368.0000,0.470893
369.0000,0.470296
370.0000,0.467178
371.0000,0.467626
372.0000,0.463114
373.0000,0.462179
374.0000,0.471998
375.0000,0.461915
376.0000,0.472559
377.0000,0.472013
378.0000,0.471846
379.0000,0.474249
380.0000,0.473485
381.0000,0.477681
382.0000,0.473466
383.0000,0.470736
384.0000,0.478834
385.0000,0.476129
386.0000,0.475855
387.0000,0.470049
388.0000,0.473662
389.0000,0.486344
390.0000,0.484759
391.0000,0.481466
392.0000,0.475818
393.0000,0.484778
394.0000,0.486740
395.0000,0.486401
396.0000,0.489377
397.0000,0.485330
398.0000,0.490482
399.0000,0.489330
400.0000,0.489624
401.0000,0.493166
402.0000,0.490267
403.0000,0.490984
404.0000,0.490568
405.0000,0.493429
406.0000,0.496337
407.0000,0.494619
408.0000,0.495886
409.0000,0.494699
410.0000,0.496827
411.0000,0.497464
412.0000,0.500305
413.0000,0.502892
414.0000,0.499729
415.0000,0.500166
416.0000,0.502573
417.0000,0.508648
418.0000,0.504253
419.0000,0.503553
420.0000,0.504551
421.0000,0.506192
422.0000,0.505122
423.0000,0.507798
424.0000,0.507010
425.0000,0.508948
426.0000,0.511401
427.0000,0.510876
428.0000,0.512934
429.0000,0.511686
430.0000,0.515535
431.0000,0.511882
432.0000,0.516509
433.0000,0.516003
434.0000,0.516190
435.0000,0.520405
436.0000,0.519859
437.0000,0.519298
438.0000,0.520639
439.0000,0.518808
440.0000,0.520001
441.0000,0.521472
442.0000,0.521044
443.0000,0.525436
444.0000,0.522586
445.0000,0.525859
446.0000,0.526839
447.0000,0.522902
448.0000,0.526851
449.0000,0.525442
450.0000,0.528720
451.0000,0.530656
452.0000,0.530829
453.0000,0.531686
454.0000,0.532599
455.0000,0.531752
456.0000,0.532181
457.0000,0.535874
458.0000,0.535816
459.0000,0.533527
460.0000,0.536377
461.0000,0.537048
462.0000,0.538165
463.0000,0.537920
464.0000,0.537247
465.0000,0.540942
466.0000,0.537955
467.0000,0.539105
468.0000,0.539310
469.0000,0.540598
470.0000,0.542789
471.0000,0.545537
472.0000,0.545101
473.0000,0.546581
474.0000,0.543744
475.0000,0.546396
476.0000,0.547772
477.0000,0.550091
478.0000,0.548111
479.0000,0.549224
480.0000,0.550782
481.0000,0.551507
482.0000,0.554225
483.0000,0.553823
484.0000,0.554280
485.0000,0.554592
486.0000,0.552805
487.0000,0.554716
488.0000,0.556879
489.0000,0.557304
490.0000,0.559872
491.0000,0.558992
492.0000,0.562056
493.0000,0.560984
494.0000,0.560098
495.0000,0.560725
496.0000,0.564621
497.0000,0.561553
498.0000,0.562831
499.0000,0.562732
500.0000,0.563613
501.0000,0.566615
502.0000,0.565046
503.0000,0.565671
504.0000,0.564121
505.0000,0.567376
506.0000,0.567972
507.0000,0.568496
508.0000,0.569135
509.0000,0.569879
510.0000,0.573294
511.0000,0.571856
512.0000,0.572162
513.0000,0.574990
514.0000,0.576434
515.0000,0.573848
516.0000,0.572706
517.0000,0.574019
518.0000,0.574869
519.0000,0.580044
520.0000,0.576689
521.0000,0.577448
522.0000,0.577982
523.0000,0.579550
524.0000,0.580851
525.0000,0.580886
526.0000,0.582531
527.0000,0.582877
528.0000,0.581885
529.0000,0.583137
530.0000,0.586376
531.0000,0.587417
532.0000,0.583627
533.0000,0.586249
534.0000,0.582886
535.0000,0.586686
536.0000,0.585884
537.0000,0.587278
538.0000,0.589227
539.0000,0.585736
540.0000,0.587326
541.0000,0.589619
542.0000,0.591262
543.0000,0.588745
544.0000,0.589880
545.0000,0.592863
546.0000,0.591219
547.0000,0.591658
548.0000,0.591748
549.0000,0.593399
550.0000,0.592455
551.0000,0.597094
552.0000,0.594240
553.0000,0.596273
554.0000,0.598068
555.0000,0.596249
556.0000,0.599571
557.0000,0.595884
558.0000,0.598212
559.0000,0.598921
560.0000,0.599277
561.0000,0.599953
562.0000,0.599165
563.0000,0.603080
564.0000,0.601483
565.0000,0.600050
566.0000,0.604588
567.0000,0.602833
568.0000,0.603667
569.0000,0.602608
570.0000,0.605663
571.0000,0.606908
572.0000,0.608622
573.0000,0.604026
574.0000,0.607535
575.0000,0.601162
576.0000,0.605769
577.0000,0.606182
578.0000,0.608262
579.0000,0.608919
580.0000,0.609069
581.0000,0.611298
582.0000,0.608748
583.0000,0.610007
584.0000,0.608711
585.0000,0.611961
586.0000,0.613522
587.0000,0.611751
588.0000,0.614242
589.0000,0.611524
590.0000,0.612826
591.0000,0.613785
592.0000,0.611260
593.0000,0.619982
594.0000,0.617388
595.0000,0.615236
596.0000,0.616939
597.0000,0.615080
598.0000,0.616333
599.0000,0.615412
600.0000,0.615839
601.0000,0.619381
602.0000,0.619207
603.0000,0.621131
604.0000,0.616994
605.0000,0.618162
606.0000,0.620553
607.0000,0.619348
608.0000,0.619076
609.0000,0.618702
610.0000,0.619891
611.0000,0.622170
612.0000,0.622420
613.0000,0.621648
614.0000,0.622082
615.0000,0.622479
616.0000,0.623610
617.0000,0.623800
618.0000,0.625375
619.0000,0.622490
620.0000,0.624461
621.0000,0.626478
622.0000,0.626793
623.0000,0.623857
624.0000,0.624852
625.0000,0.626786
626.0000,0.627755
627.0000,0.628978
628.0000,0.628199
629.0000,0.626367
630.0000,0.626842
631.0000,0.628457
632.0000,0.632863
633.0000,0.629083
634.0000,0.627847
635.0000,0.627013
636.0000,0.628219
637.0000,0.629664
638.0000,0.630719
639.0000,0.631827
640.0000,0.631034
641.0000,0.628349
642.0000,0.632145
643.0000,0.633048
644.0000,0.632455
645.0000,0.631638
646.0000,0.632607
647.0000,0.634901
648.0000,0.634022
649.0000,0.636844
650.0000,0.637199
651.0000,0.637748
652.0000,0.632217
653.0000,0.637734
654.0000,0.637629
655.0000,0.638466
656.0000,0.639320
657.0000,0.639151
658.0000,0.637795
659.0000,0.638807
660.0000,0.637676
661.0000,0.638865
662.0000,0.638999
663.0000,0.637812
664.0000,0.638995
665.0000,0.638789
666.0000,0.638719
667.0000,0.639780
668.0000,0.639603
669.0000,0.638091
670.0000,0.641918
671.0000,0.640068
672.0000,0.642392
673.0000,0.642366
674.0000,0.644241
675.0000,0.642078
676.0000,0.642326
677.0000,0.643814
678.0000,0.643087
679.0000,0.642250
680.0000,0.642934
681.0000,0.644650
682.0000,0.645828
683.0000,0.648485
684.0000,0.646646
685.0000,0.647616
686.0000,0.645290
687.0000,0.646446
688.0000,0.647676
689.0000,0.647623
690.0000,0.648072
691.0000,0.643480
692.0000,0.647221
693.0000,0.651058
694.0000,0.648767
695.0000,0.648565
696.0000,0.649343
697.0000,0.647550
698.0000,0.650332
699.0000,0.652071
700.0000,0.649619
701.0000,0.649859
702.0000,0.651080
703.0000,0.651698
704.0000,0.651109
705.0000,0.654985
706.0000,0.651180
707.0000,0.653277
708.0000,0.653937
709.0000,0.651952
710.0000,0.652255
711.0000,0.655019
712.0000,0.655817
713.0000,0.655464
714.0000,0.653918
715.0000,0.652642
716.0000,0.654138
717.0000,0.653759
718.0000,0.656589
719.0000,0.655753
720.0000,0.655829
721.0000,0.656953
722.0000,0.658036
723.0000,0.657772
724.0000,0.655256
725.0000,0.655422
726.0000,0.656709
727.0000,0.659534
728.0000,0.658086
729.0000,0.656432
730.0000,0.657125
731.0000,0.656588
732.0000,0.657638
733.0000,0.659737
734.0000,0.660514
735.0000,0.660290
736.0000,0.658935
737.0000,0.659403
738.0000,0.660810
739.0000,0.662169
740.0000,0.662262
741.0000,0.661970
742.0000,0.660219
743.0000,0.660525
744.0000,0.662058
745.0000,0.662895
746.0000,0.664891
747.0000,0.667611
748.0000,0.663210
749.0000,0.664881
750.0000,0.661835
751.0000,0.663263
752.0000,0.662681
753.0000,0.662696
754.0000,0.664468
755.0000,0.665623
756.0000,0.665581
757.0000,0.665946
758.0000,0.665513
